sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-07-18;15,94;16,00;15,90;16,18;15,90;15,94;15,964;8215;131143;161;
2023-07-17;15,90;15,96;16,04;16,26;15,86;15,90;15,985;109761;1756028;163;
2023-07-14;16,00;16,06;16,06;16,18;15,76;16,04;15,976;14567;232725,74;199;
2023-07-13;16,04;16,16;16,54;16,56;16,06;16,06;16,386;34750;569397,16;210;
2023-07-12;16,46;16,54;16,24;16,54;16,14;16,54;16,379;19051;312026,28;271;
2023-07-11;16,18;16,24;16,06;16,24;15,96;16,24;16,116;13015;209735,55;210;
2023-07-10;16,06;16,08;15,50;16,10;15,48;16,02;15,863;18353;291124,88;285;
2023-07-07;15,50;15,56;15,24;15,56;15,22;15,50;15,356;18155;278712,99;231;
2023-07-06;15,22;15,30;15,08;15,28;15,08;15,24;15,182;24457;371355,51;326;
2023-07-05;15,26;15,30;16,04;16,10;15,20;15,28;15,643;87671;1371393,3;739;
2023-07-04;16,00;16,04;15,82;16,08;15,78;15,96;15,927;5925;94368,18;160;
2023-07-03;15,80;15,82;15,50;15,82;15,50;15,80;15,761;9226;145406,76;202;
2023-06-30;15,50;15,54;15,26;15,66;15,26;15,48;15,514;8230;127683,4;165;
2023-06-29;15,28;15,32;15,28;15,50;15,26;15,26;15,383;11738;180569,14;168;
2023-06-28;15,30;15,32;15,12;15,44;15,10;15,26;15,273;7091;108300,74;176;
2023-06-27;15,10;15,16;15,20;15,34;15,08;15,10;15,164;10618;161005,54;169;
2023-06-26;15,32;15,36;15,04;15,36;14,98;15,30;15,175;12542;190328,22;200;
2023-06-22;15,14;15,18;14,80;15,26;14,70;15,12;15,001;16297;244576,56;237;
2023-06-21;14,86;14,94;15,14;15,14;14,86;14,86;14,984;17694;264987,62;248;
2023-06-20;15,14;15,18;15,24;15,26;15,08;15,16;15,169;5298;80363,58;141;
2023-06-19;15,24;15,36;15,54;15,54;15,24;15,26;15,345;12414;190496,64;194;
2023-06-16;15,58;15,62;15,42;15,68;15,32;15,60;15,592;17923;279447,16;237;
2023-06-15;15,40;15,50;15,58;15,58;15,32;15,40;15,399;9950;153217,96;164;
2023-06-14;15,46;15,50;15,54;15,84;15,46;15,46;15,587;25011;390407,55;284;
2023-06-13;15,54;15,62;15,08;15,64;15,08;15,54;15,427;23241;358228,32;278;
2023-06-12;15,00;15,04;14,88;15,12;14,86;15,08;15,059;37402;562970,12;318;
2023-06-09;14,66;14,70;14,66;14,74;14,56;14,68;14,624;23151;338576,68;193;
2023-06-08;14,64;14,66;14,68;14,68;14,50;14,64;14,61;13426;196175,51;227;
2023-06-07;14,58;14,66;14,76;14,76;14,56;14,56;14,631;8957;131041,21;149;
2023-06-06;14,66;14,70;14,68;14,72;14,34;14,72;14,545;15530;225879,9;230;
2023-06-05;14,66;14,72;14,84;14,84;14,62;14,62;14,732;12331;181677,86;246;
2023-06-02;14,82;14,90;14,62;14,84;14,60;14,84;14,709;16251;239102,52;202;
2023-06-01;14,50;14,54;13,98;14,54;13,84;14,54;14,358;34334;492970,72;392;
2023-05-31;14,20;14,22;14,50;14,60;13,62;13,62;14,081;55541;781776,84;602;
2023-05-30;14,60;14,64;14,82;15,00;14,58;14,58;14,777;9418;139204,84;197;
2023-05-29;14,82;14,88;14,82;14,94;14,76;14,82;14,821;14106;209066,8;155;
2023-05-26;14,76;14,82;14,86;14,88;14,72;14,80;14,812;11417;169111,1;248;
2023-05-25;14,92;14,96;14,92;15,02;14,82;14,88;14,896;15663;233323,9;247;
2023-05-24;15,00;15,04;15,12;15,18;14,92;14,92;15,008;13452;201887,66;256;
2023-05-23;15,22;15,26;15,34;15,44;15,18;15,20;15,297;4944;75646,32;130;
2023-05-22;15,32;15,34;15,38;15,44;15,28;15,32;15,341;6234;95633,42;158;
2023-05-19;15,42;15,46;15,40;15,62;15,40;15,40;15,497;3427;53109,74;140;
2023-05-17;15,34;15,40;15,54;15,54;15,30;15,40;15,414;5870;90484,06;171;
2023-05-16;15,46;15,56;15,58;15,72;15,48;15,54;15,592;7355;114681,7;169;
2023-05-15;15,60;15,64;15,56;15,76;15,52;15,58;15,605;9827;153349,98;180;
2023-05-12;15,54;15,62;15,76;15,80;15,54;15,56;15,668;5400;84607,92;138;
2023-05-11;15,72;15,82;15,56;15,86;15,40;15,74;15,646;12144;190010,38;191;
2023-05-10;15,58;15,66;15,50;15,76;15,48;15,56;15,601;10495;163736,48;213;
2023-05-09;15,50;15,58;15,70;15,78;15,44;15,50;15,547;10222;158918;206;
2023-05-08;15,70;15,72;16,06;16,12;15,62;15,70;15,90;12238;194578,96;189;
2023-05-05;16,04;16,10;15,72;16,10;15,70;16,06;15,905;11477;182545,64;171;
2023-05-04;15,70;15,78;15,50;15,84;15,48;15,66;15,727;8951;140771,12;212;
2023-05-03;15,68;15,74;15,50;15,74;15,36;15,56;15,531;43734;679237,58;294;
2023-05-02;15,48;15,50;15,66;15,98;15,40;15,48;15,636;8284;129530,28;194;
2023-04-28;15,64;15,84;15,70;15,84;15,62;15,66;15,706;8098;127182,8;189;
2023-04-27;15,76;16,00;15,46;15,70;15,30;15,70;15,516;16618;257872,65;269;
2023-04-26;15,44;15,52;15,40;15,58;15,30;15,48;15,438;6454;99663,88;168;
2023-04-25;15,50;15,58;15,96;15,96;15,32;15,48;15,431;8117;125253,42;191;
2023-04-24;15,40;15,46;15,44;15,82;15,10;15,44;15,498;11700;181320,38;241;
2023-04-21;15,44;15,54;16,14;16,14;15,44;15,44;15,595;8249;128697,63;224;
2023-04-20;15,88;16,14;16,08;16,14;15,78;15,90;15,932;14952;238376,19;218;
2023-04-19;16,14;16,18;16,46;16,46;16,12;16,14;16,236;7588;123204,8;144;
2023-04-18;16,36;16,46;16,30;16,50;16,24;16,44;16,39;10595;173652,16;194;
2023-04-17;16,26;16,34;16,00;16,32;16,00;16,26;16,19;7980;129193,56;184;
2023-04-14;15,96;16,00;16,00;16,10;15,94;15,94;15,989;7969;127424,48;168;
2023-04-13;15,82;15,90;15,64;15,98;15,64;15,88;15,833;5982;94714,42;158;
2023-04-12;15,62;15,66;15,68;15,76;15,54;15,64;15,654;7333;114790,68;156;
2023-04-11;15,62;15,68;15,34;15,68;15,34;15,66;15,564;7118;110781,74;158;
2023-04-06;15,32;15,38;15,32;15,46;15,28;15,30;15,34;7312;112166,86;145;
